Customer_ID,Age,Gender,City,Product_Category,Purchase_Amount,Purchase_Frequency,Rating,Purchase_Date
C001,56,Male,Bengaluru,Grocery,7591.75,12,3.3,2026-01-01
C002,46,Female,Delhi,Clothing,10485.49,1,3.3,2026-01-02
C003,32,Male,Mumbai,Clothing,5420.55,5,2.7,2026-01-03
C004,60,Male,Delhi,Clothing,14068.73,15,3.7,2026-01-04
C005,25,Female,Hyderabad,Electronics,876.04,5,4.2,2026-01-05
C006,38,Female,Jaipur,Electronics,6443.81,6,3.8,2026-01-06
C007,56,Female,Bengaluru,Electronics,14523.43,3,2.9,2026-01-07
C008,36,Female,Pune,Grocery,8355.19,5,,2026-01-08
C009,40,Female,Pune,Sports,6525.02,7,2.5,2026-01-09
C010,28,Female,Hyderabad,Clothing,8657.25,5,4.7,2026-01-10
C011,28,Female,Lucknow,Clothing,8766.09,5,2.7,2026-01-11
C012,41,Female,Kolkata,Grocery,11055.22,5,4.0,2026-01-12
C013,53,Male,Delhi,Clothing,2177.04,10,5.0,2026-01-13
C014,57,Female,Delhi,Electronics,3975.24,10,3.8,2026-01-14
C015,41,Female,Lucknow,Sports,8834.0,3,4.8,2026-01-15
C016,20,Male,Lucknow,Beauty,13046.61,1,3.1,2026-01-16
C017,39,Female,Hyderabad,Clothing,8559.44,5,4.4,2026-01-17
C018,19,Male,Hyderabad,Electronics,3807.37,14,3.8,2026-01-18
C019,41,Male,Lucknow,Beauty,,9,4.3,2026-01-19
C020,47,Female,Bengaluru,Sports,11176.66,14,2.7,2026-01-20
C021,55,Male,Hyderabad,Beauty,3802.07,1,2.9,2026-01-21
C022,19,Male,Jaipur,Electronics,5852.61,3,2.8,2026-01-22
C023,38,Male,Hyderabad,Beauty,8154.61,13,4.2,2026-01-23
C024,50,Male,Delhi,Grocery,7599.45,13,4.6,2026-01-24
C025,29,Female,Hyderabad,Beauty,6027.39,4,4.4,2026-01-25
C026,39,Male,Bengaluru,Clothing,4675.24,14,2.6,2026-01-26
C027,42,Female,Lucknow,Clothing,1769.78,1,4.7,2026-01-27
C028,44,Male,Delhi,Grocery,1086.23,1,3.4,2026-01-28
C029,59,Male,Hyderabad,Electronics,14390.56,8,3.5,2026-01-29
C030,45,Male,Bengaluru,Clothing,12753.0,2,2.8,2026-01-30
C031,33,Male,Jaipur,Sports,5517.11,12,4.3,2026-01-31
C032,32,Female,Hyderabad,Clothing,14364.97,15,3.0,2026-02-01
C033,20,Female,Bengaluru,Clothing,10248.52,8,3.9,2026-02-02
C034,54,Male,Jaipur,Electronics,7393.06,7,4.6,2026-02-03
C035,24,Male,Lucknow,Beauty,7547.48,10,2.7,2026-02-04
C036,38,Female,Hyderabad,Clothing,1524.28,10,3.8,2026-02-05
C037,26,Male,Jaipur,Grocery,1648.05,2,,2026-02-06
C038,56,Male,Delhi,Beauty,9155.88,6,3.4,2026-02-07
C039,35,Male,Lucknow,Sports,8439.43,6,3.7,2026-02-08
C040,21,Female,Delhi,Electronics,3427.1,3,3.4,2026-02-09
C041,42,Female,Pune,Sports,14209.06,11,4.1,2026-02-10
C042,31,Female,Mumbai,Beauty,11785.05,2,3.7,2026-02-11
C043,26,Male,Hyderabad,Beauty,1967.93,12,4.0,2026-02-12
C044,43,Male,Jaipur,Beauty,13984.66,1,4.3,2026-02-13
C045,19,Female,Mumbai,Sports,14621.45,6,3.9,2026-02-14
C046,37,Female,Mumbai,Beauty,14940.19,12,4.0,2026-02-15
C047,45,Female,Jaipur,Sports,1121.31,5,3.9,2026-02-16
C048,24,Female,Lucknow,Beauty,11134.42,14,3.4,2026-02-17
C049,25,Male,Hyderabad,Grocery,8324.96,14,3.3,2026-02-18
C050,52,Female,Pune,Beauty,10675.72,11,4.7,2026-02-19
C051,31,Male,Delhi,Sports,14539.18,9,4.0,2026-02-20
C052,34,Female,Bengaluru,Clothing,10414.04,1,3.1,2026-02-21
C053,53,Male,Delhi,Beauty,12603.37,15,3.7,2026-02-22
C054,57,Female,Bengaluru,Clothing,13042.97,15,3.3,2026-02-23
C055,21,Female,Delhi,Grocery,12625.67,7,4.8,2026-02-24
C056,19,Female,Jaipur,Electronics,6563.54,15,2.5,2026-02-25
C057,23,Female,Pune,Grocery,3571.87,5,3.1,2026-02-26
C058,59,Male,Hyderabad,Beauty,6130.78,5,3.4,2026-02-27
